key,creation-moment,automaticSequenceNumber,memorandum,link,key:patronage
patronage-report-01,2014/12/12 23:00,AAA-000:0001,Memorandum 1,http://www.patronageReport1.com,patronage-01
patronage-report-02,2013/11/12 07:00,AAA-000:0002,Memorandum 2,http://www.patronageReport2.com,patronage-01
patronage-report-03,2012/10/12 11:00,AAA-001:0001,Memorandum 3,http://www.patronageReport3.com,patronage-02
patronage-report-04,2011/09/12 20:00,AAB-002:0001,Memorandum 4,http://www.patronageReport4.com,patronage-03
patronage-report-05,2010/08/12 22:00,AAA-003:0001,Memorandum 5,http://www.patronageReport5.com,patronage-04
patronage-report-06,2006/07/12 04:00,AAA-004:0001,Memorandum 6,http://www.patronageReport6.com,patronage-05
patronage-report-07,2007/06/12 15:00,AAA-005:0001,Memorandum 7,http://www.patronageReport7.com,patronage-06
patronage-report-08,2008/05/12 23:00,ADA-006:0001,Memorandum 8,http://www.patronageReport8.com,patronage-07
patronage-report-09,2009/04/12 02:00,AAA-007:0001,Memorandum 9,http://www.patronageReport9.com,patronage-08
patronage-report-10,2015/03/12 23:00,AAA-008:0001,Memorandum 10,http://www.patronageReport10.com,patronage-09
patronage-report-11,2016/02/12 23:00,AAA-009:0001,Memorandum 11,http://www.patronageReport11.com,patronage-10
patronage-report-12,2017/01/12 23:00,ARA-010:0001,Memorandum 12,http://www.patronageReport12.com,patronage-11
patronage-report-13,2018/12/12 08:00,AAA-011:0001,Memorandum 13,http://www.patronageReport13.com,patronage-12
patronage-report-14,2019/12/12 23:00,ORA-012:0001,Memorandum 14,http://www.patronageReport14.com,patronage-13
patronage-report-15,2020/12/12 23:00,AAA-000:0003,Memorandum 15,http://www.patronageReport15.com,patronage-01
